titre_comm,comm,dateAvis,dateSejour,loc,note,photo,id
Magnífico,"Es otro mundo. Nada más entrar te das cuenta de que no es un simple hotel. Decoración espectacular, y más para fans de Marvel como yo. La habitación fantástica. La cama es estupenda, almohadas para elegir, la televisión escondida en el espejo...todo una pasada. Los encuentros con los personajes Marvel, geniales. Los restaurantes, muy buenos. Desayuno muy completo y con variedad y calidad. El personal, maravilloso. No necesitas hablar en inglés o francés...casi todos hablan español, lo mismo que el los Parques Disney y en el Village. Merece la pena este hotelazo...",JoseMlg a écrit un avis (sept. 2022),Date du séjour : juillet 2022,"Malaga, Espagne",bubble_50,no,"JoseMlg a écrit un avis (sept. 2022)Malaga, Espagnebubble_50"
Très bon séjour ,"Nous avons séjourné 2 nuits à l'hôtel Disney's New York Marvel et nous avons été satisfaits de notre séjour.  L'hôtel est magnifique et très bien rénové. Les chambres sont modernes, fonctionnelles, très bien décorées.  Point négatif cependant, nous étions au troisième étage et entendions le bruit du restaurant qui se trouve au rez-de-chaussée. C'est assez désagréable, surtout que cela dur toute la journée et surtout jusqu'à 2 voir 3h du matin et que cela reprend à 7h.  Nous en avons fait part à la réception, qui nous a proposé de nous changer de chambre pour une catégorie supérieure étant donné que l'hôtel était complet à cette période. Comme il était déjà tard et que notre fils était sur le point de se coucher, nous avons décliné la proposition. Il nous a alors été offert un…",Clo1260 a écrit un avis (sept. 2022),Date du séjour : septembre 2022,"Nyon, Suisse",bubble_40,no,"Clo1260 a écrit un avis (sept. 2022)Nyon, Suissebubble_40"
Ayrıntılara takılmazsanız güzel bir otel,"Ailemle birlikte 4 kişi gittik. Karşılama ve C/In oldukça hızlı idi. Otelin her bölgesi Marvel kahramanları resimleri ile donatılmış. Katlar dahil. Kahramanlarla olan aktiviteye mutlaka katılın. Personel tüm alanlarda güleryüzlü olmakla birlikte  çok yardımsever değildi. Oda yeni ve konforlu. Banyo, buklet malzemeleri sınırlı. Terlik dahi yoktu. Oda temizliği çok güven vermiyordu. Kahvaltı Avrupa standartlarına göre iyi idi. Karnınızı doyurursunuz. Bu standartta bir otelde çay kahve almak için bile büfeye gitmeyi yakıştıramadım. Hatta tuz istedim personel kibarca büfeyi gösterdi. Akşam yemeği alacarte restoranlar mönü, sunum ve hizmet tam puan. Disney’e çok yakın olan bu otel inanılmaz avantaj sağlıyor. Yürüme mesafesi 10 dk. Sabah erken veya akşam geç çıkarak sıralar oluşmadan…",Ceyhan K a écrit un avis (sept. 2022),Date du séjour : septembre 2022,"Belek, Turquie",bubble_40,yes,"Ceyhan K a écrit un avis (sept. 2022)Belek, Turquiebubble_40"
"Not worth your money, absolutely no Disney magic.  Empire state lounge was a rip off.","I am an experienced Disney traveller.  I love to stay at Disney hotels to experience more of the ""magic"" of Disney.  This hotel was way overpriced and had zero magic.  We arrived at 130pm on day of check in.  When you arrive you must have your luggage go through an xray machine and everytime you enter the hotel you must be scanned too.  Normally I wouldn't mind this but our luggage had a kitchen knife for when we buy food as we are travelling and buy food as we dont always like eating out.  Of course this was not allowed in the hotel, no problem, they kept it until departure.  This process took about 45 mins for someone to approve our knife and allow it into a safe.  We went to the club section for check in.  It's called the Empore state club I think.  Any club level in Disney…",LP a écrit un avis (sept. 2022),Date du séjour : septembre 2022,"Nanaimo, Canada",bubble_10,no,"LP a écrit un avis (sept. 2022)Nanaimo, Canadabubble_10"
très belle déco Marvel,"très bon accueil à la réception où on a pu récupérer nos Magic pass ( carte d'accès à la chambre et aux deux parcs ). Hôtel ayant pris un sérieux coup de jeune avec la thématisation Marvel ( de nombreux tableaux , un accès privilégié pour des photos avec les héros , un bar Sky line très sympa  avec son écran géant animé ). La chambre joliment décorée et feutrée, écran TV géant , twins bed très confortables, sdb un peu petite mais ça va...) . Pdj bon et varié ( tout en self même les boissons chaudes ). l'Hôtel est raccord avec l'Avengers Campus,  à eux deux ils nous ont fait vivre une nouvelle expérience à Disneyland Paris.   ",tibaba974 a écrit un avis (sept. 2022),Date du séjour : août 2022,La Réunion,bubble_40,no,tibaba974 a écrit un avis (sept. 2022)La Réunionbubble_40
Spiderman suite in tutti i sensi,"hotel figo, pieno di cose Marvel, personale gentile e disponibile, ma sulla pulizia tutto da rivedere! camera al nostro arrivo abbastanza sporca, bagni (erano due) pieni di capelli a terra e lenzuola macchiate di sangue ( che poi sono state prontamente cambiate). Avevamo la suite a tema Spiderman in tutti i sensi, oltre al quadro appeso avremo avuto almeno una decina di ragnetti che gironzolavano in giro per la moquette e le pareti!",fabiano a écrit un avis (sept. 2022),Date du séjour : septembre 2022,"Vigano, Italie",bubble_20,no,"fabiano a écrit un avis (sept. 2022)Vigano, Italiebubble_20"
Big and a bit chaotic,"Given the price that Disney charges for these hotels, I really hope they can improve on the quality of the experience.  Pros:  - Easiest access to Disney currently. - Great pool - huge in size and nice indoor/outdoor feature.  Our best experience at the hotel! - Great common areas such as the Heroes club and other featured play rooms. - Nice décor especially in lobby and common areas. - Room service food was good and prompt  - food was good in Disneyland in general.  Breakfast buffet especially was nice.  Cons: - We were in the Empire Club and check in took 45 minutes.  Only about 5-10 minute waiting until our turn but then all the talk/paperwork, etc...  We were tired after a day of travel and just wanted our room key!! - Although everything is new, shiny, and custom, the…",Rui D a écrit un avis (sept. 2022),Date du séjour : août 2022,"New York, État de New York",bubble_30,no,"Rui D a écrit un avis (sept. 2022)New York, État de New Yorkbubble_30"
LA PERFEZIONE,"Ho soggiornato una sola notte, purtroppo : -( Hotel perfetto, 4 stelle, camera ampia, stanza pulita, letto e cuscini comodissimi. In camera sono a disposizione bottiglie d'acqua, bollitore, macchinetta per il caffè e mini frigo. Ogni piano è dedicato ad un supereroe. Diversi ascensori, deposito bagagli, servizio di ""trasporto"" bagagli in camera. Personale poliglotta, gentile e molto disponibile. Piscina con anche idromassaggio: forniscono asciugamano, per chi ne avesse bisogno c'è una macchinetta che fornisce costumi e occhialini; al pomeriggio è aperta anche la parte di piscina all'aperto. Presenza di bagnino. C'è spogliatoio attrezzato con bagni, docce e armadietti. Colazione a buffet (a pagamento) perfetta, ampia scelta sia dolce che salata. A pochissimi passi dal parco. In…",Carmen8827 a écrit un avis (sept. 2022),Date du séjour : août 2022,"Cassolnovo, Italie",bubble_50,yes,"Carmen8827 a écrit un avis (sept. 2022)Cassolnovo, Italiebubble_50"
Expensive but amazing,"Just returned from a couple of nights at this hotel ... wow.  The smell, the art work, the attention to detail is incredible. The superhero station is an amazing addition with dedicated character meets and we got approx 8 pictures of this on our Photopass, the separate photo opportunity stations are fun too! You don't feel rushed at all.  Our room had an amazing view of the garden, enough room to relax with a coffee by the huge windows, despite two double beds in the room. Walk in shower was lovely.  Staff were great and friendly, I ordered my son a drink which he took one sip of and didn't like and at 12 Euros I was mortified, but the bar steward noticed and got him something else and didn't charge the original drink! Only downsides for me ... check-in could do with being a bit…",amyLe1987 a écrit un avis (sept. 2022),Date du séjour : août 2022,"Middlewich, Royaume-Uni",bubble_40,yes,"amyLe1987 a écrit un avis (sept. 2022)Middlewich, Royaume-Unibubble_40"
Classy property with kids activities,"The hotel lobby is expansive and classic.  The staff is so helpful and friendly.  I do not speak French, just enough to get buy.  They were so kind.  The room is beautiful.  They do not have a bath tub but the shower is awesome. We did the buffet and it was perfect.  Disneyland in California should take some cooking tips from their chefs.  The only hitch was laundry service.  We wanted fluff and fold and they dry cleaned instead. it was 176.00 .  I believe it was a communication error.  They did a great job.",Catarina P a écrit un avis (sept. 2022),Date du séjour : août 2022,"Menlo Park, Californie",bubble_50,no,"Catarina P a écrit un avis (sept. 2022)Menlo Park, Californiebubble_50"
La magie de disney,"C’est un pur bonheur. La chambre est propre, le personnel attentionné. Il a y des détails attentionnés dans la chambre.  La proximité entre l’hôtel et le parc est un plus. Nous avons pu rencontrer Spiderman dans l’hôtel. Mention spéciale pour le bar de l’hôtel qui vaut le détour, les enfants sont émerveillés.",Murhart a écrit un avis (août 2022),Date du séjour : juin 2022,"Vence, France",bubble_50,yes,"Murhart a écrit un avis (août 2022)Vence, Francebubble_50"
Marvellous hotel!!,We had a 3 day stay at the hotel. My son who is Marvel lover loved this place. The first thing that impresses you is the decoration with all Marvel heroes all around the hotel.  We had an online checked in so everything was quick at the reception. Staff was friendly and helpful. They have booked us a character meeting which it was amazing and it is something that you must not miss. (It is only for the hotel guests). We had a room with garden view which it was beautiful and clean. We enjoyed the two double beds. The bathroom was very clean as well. We were slightly disappointed that they didn't put any other water in the fridge apart from day 1. Breakfast was excellent. There was a buffet with plenty of choices at the two restaurants of the hotel. It was a great stay and we hope…,Stavroula M a écrit un avis (août 2022),Date du séjour : août 2022,"Limassol, Chypre",bubble_50,yes,"Stavroula M a écrit un avis (août 2022)Limassol, Chyprebubble_50"
Anniversaire 🎂 🎁 de notre fils,"Pour les 12 ans de notre fils nous sommes partis 4 jours à l'hôtel Disney Marvel New York.  C est la troisième fois que nous venons et à chaque fois nous sommes émerveillés !!! Très bel hôtel, la conciergerie avait préparé l anniversaire 🎂 de notre fils sur le thème de Spiderman, c était magnifique !! L arrivée du gâteau sur un chariot avec ballon et jouet , notre fils était aux anges !! Nous reviendrons pour Noël car la décoration pour les fêtes est sublime.",Gabriel S a écrit un avis (août 2022),Date du séjour : août 2022,"None, None",bubble_50,yes,"Gabriel S a écrit un avis (août 2022)None, Nonebubble_50"
Allez y très vite !,"Séjour pour fêter les trente ans de mon Fils. Un vrai rêve ! Tout étais parfais. Propreté irréprochable de la chambre, literie confortable, salle de bain spacieuse et fonctionnelle. La cerise sur la chantilly est la gentillesse, et le professionnalisme du personnel, que nous remercions sincèrement. Nous n'avons qu'un hâte, y retourner !",charly c a écrit un avis (août 2022),Date du séjour : juillet 2022,"None, None",bubble_50,no,"charly c a écrit un avis (août 2022)None, Nonebubble_50"
Considerazioni realistiche sul mio soggiorno,"Hotel magico, per i bimbi ma anche per noi adulti. Posizione ottima, ambiente unico a tema Marvel, abbiamo alloggiato nella suite Spiderman camera 7200, bellissima, non ci sono altri commenti da fare. Unica nota il ristorante Manhattan che forse potrebbe cambiare il menù alla carta ogni sera invece e’ sempre lo stesso, parliamo sempre di un hotel 4 stelle superior. Colazione nell’area privata e merenda davvero ottime. Incontro con i personaggi spettacolare!!! Torneremo!!!",Gennaro Luciano a écrit un avis (août 2022),Date du séjour : juillet 2022,"None, None",bubble_50,yes,"Gennaro Luciano a écrit un avis (août 2022)None, Nonebubble_50"
"Belle Hotel, mais gros soucis,...","Nous venons de passer le weekend avec une nuitée et accès aux 2 pars.  afin de pouvoir faire la surprise à notre fils de 9 ans, fan des supers héros, nous avons débourser la somme qu'il fallait pour pouvoir loger au New York Hotel qui d'après leur site, permettait la rencontre de supers héros.  Autrefois, lors des petits déjeuner, nous pouvions bénéficier de la rencontre de plusieurs personnages Disney, mais le COVID est une très bonne excuse pour en faire moins.  Résultat des courses, en logeant dans ce nouvel hotel certes avec un design soigné, nous n'avons pu voir qu'un seul héro uniquement moyennant prise d'un rendez-vous via l'application et selon les tranches horaires encore disponible soit 15h45 ce qui implique de devoir quitté le parc prématurément pour revenir à l'hotel…",Bovy A a écrit un avis (août 2022),Date du séjour : août 2022,"None, None",bubble_40,no,"Bovy A a écrit un avis (août 2022)None, Nonebubble_40"
Excelente,"Nos ha encantado, él personal súper atento, el hotel es una pasada, te sumerges en el mundo marvel totalmente y está súper cerca de los parques. El desayuno así como los restaurantes muy bien. Totalmente recomendable",Ro a écrit un avis (août 2022),Date du séjour : août 2022,"Jerez De La Frontera, Espagne",bubble_50,no,"Ro a écrit un avis (août 2022)Jerez De La Frontera, Espagnebubble_50"
Très dessus,"Au prix de la nuit et vue  l'état de la chambre passait votre chemin . Même pas une excuse lors de notre réclamation , on a attendu 1h pour au final ne pas voir de personnels venir nettoyage nous avons descendre avec notre fils de 5ans et nos affaires pour que quelqu'un fasse le nécessaire et la ce jour ,alors que nous ne sommes plus la on nous offre un repas c'est une blague .vue l'état de la chambre 4* je n'ose pas imaginer l'état des cuisine . Disneyland Paris fini pour nous et on fera une très bonne pub pour votre hôtel",Lodie0004 a écrit un avis (août 2022),Date du séjour : août 2022,"None, None",bubble_10,yes,"Lodie0004 a écrit un avis (août 2022)None, Nonebubble_10"
A Marvellous stay,"My family and I had a pleasant 4 day stay at the hotel which we found to be enjoyable and on the whole a lovely experience. The hotel itself is nice with lot’s of Marvel themed artwork and we were met with friendly staff on arrival/check in, as well as at other times where we had any inquiries. We stayed in a superior room with x2 double beds. the room was clean and was sufficient in size for the four of us - but could have been a little bit bigger if I were to nit pick. The pool /sauna area was nice too and we found the food to be reasonable when dining in the downtown restaurant, and my little one thoroughly enjoyed his meet and greet with one of the avengers in the superhero station. The hotel is also a great location to visit either of the Disney parks. I would recommend…",Saires a écrit un avis (août 2022),Date du séjour : août 2022,"None, None",bubble_40,no,"Saires a écrit un avis (août 2022)None, Nonebubble_40"
Very poor service,"Very poor customer service. The staff were very unattentive and simply do not care. As long as they get paid. It is not worth the money. The staff don't care. Character meetings are poor, checking in is akin to a 1 star and even asking for a room service breakfast is beyond them. Do not recommend it.",David Grima a écrit un avis (août 2022),Date du séjour : juillet 2022,"Haz-Zebbug, Malte",bubble_20,no,"David Grima a écrit un avis (août 2022)Haz-Zebbug, Maltebubble_20"
Génial,"Un séjour magique dans cet hôtel flambant neuf , chambre très confortable, spacieuse. Une piscine magnifique. Le personnel est au petit soin . Un club dessin junior superbe. Bref un séjour inoubliable ! L hotel est à côté du village disney et très pres des parcs . Je recommande à 100%",Mely2834 a écrit un avis (août 2022),Date du séjour : août 2022,"Meze, France",bubble_50,yes,"Mely2834 a écrit un avis (août 2022)Meze, Francebubble_50"
Marvel crazy,"For the Marvel lovers this is the place to stay! Modern & clean. We loved all the artwork around the hotel with paintings and other marvel figures. The avengers suite is great! Spacious and modern, maybe a little too modern as we couldn’t figure out how to turn night mode on without cutting the power for the sockets. As we paid premium for the suite we were slightly disappointed that no more fast passes are included in the room rate ( like it was at Disneyland Hotel) . Maybe the management could take this into consideration. We pay for a nice room but we also pay for the experience.",Mymesophi a écrit un avis (août 2022),Date du séjour : juillet 2022,"Angleterre, Royaume-Uni",bubble_50,yes,"Mymesophi a écrit un avis (août 2022)Angleterre, Royaume-Unibubble_50"
Aug 22 visit,Incredible. Clean. Very cool place. We were a family of four and the room was fine in terms of size with two doubles Beautiful building and decor. Staff great. Pool was a treat. Really easy to check in and out. Will go back here if we return to Disney in Paris. Short to the parks. 10 mins max.,Jon W a écrit un avis (août 2022),Date du séjour : août 2022,"Bassingham, Royaume-Uni",bubble_50,no,"Jon W a écrit un avis (août 2022)Bassingham, Royaume-Unibubble_50"
Magnífico en todos los sentidos,"Desde que llegas sientes que estás en un hotel diferente, el check-in es casi automático, el personal muy atento y amable, la habitación para dos adultos y dos niños muy amplia. Las camas muy cómodas y el desayuno buffet espectacular, en cualquiera de sus dos restaurantes.  Está a un paso de la entrada a Disneyland y justo al lado de muchas tiendas y restaurantes, a un extremo del lago.   Si a todo esto le unimos la posibilidad de ver en exclusiva (sólo para los clientes) a Spiderman, entonces la experiencia de hospedarse en este hotel sólo pueda catalogarse como magnífica.",Grimaldo1 a écrit un avis (août 2022),Date du séjour : mai 2022,"Madrid, Espagne",bubble_50,no,"Grimaldo1 a écrit un avis (août 2022)Madrid, Espagnebubble_50"
This is a marvelous hotel,We had a garden room with a terrace the room was clean and plenty of space for 2 adults and 2 children . There was a cot already provided for the 2 year old although we had not requested it. We had checked in online so it was quick at reception when we arrived. Staff very helpful on reception concierge was great and got us a late booking in the restaurant.  The swimming pool is fantastic and although 5 foot deep all round they provide swimming aids for the children.  I would recommend a visit to the pool to cool of after a long day at the park or as a stop in the afternoon before going back to the park in the evening.  The terrace was a lifesaver when putting children to bed as it meant we could sit outside without disturbing them. The marvel yheming is really nice notvtonjn…,freda c a écrit un avis (août 2022),Date du séjour : août 2022,"None, None",bubble_50,no,"freda c a écrit un avis (août 2022)None, Nonebubble_50"
Magique!,"Cadre féerique, digne d'un film. Dépaysement garantie! Un séjour des plus magique dans cet hôtel incroyable. Propreté et calme au rendez-vous, vu incroyable sur l'extérieur. Confort inégalable et services à la personne au top. Je recommande vivement ! Petit bémol, le temps accessible à la chambre n'excédant pas 20h pour un séjour de deux jours. ",Vinsanely a écrit un avis (août 2022),Date du séjour : août 2022,"Metz, France",bubble_50,yes,"Vinsanely a écrit un avis (août 2022)Metz, Francebubble_50"
Family Friendly Hotel,"Family of four, two adults, five year old and fourteen year old stayed for three nights. Check-in was easy. We arrived early so room wasn't ready but they gave us our keys and told us they would be activated at 3oclock. Recieved a text at 2oclock to say they were ready. The lobby and corridors are full of marvel art, kids loved it. Room was nice, good view and super comfy beds. Cleaned and restocked each day. We had an issue with the safe and the TV in our room and they were dealt with quickly and efficiently by the staff. On that note, staff were all very welcoming and friendly. We didn't eat at any of the restaurants, they appeared super over-priced, especially with fussy eaters of children. The skyline bar is nice to sit and have a drink in. The location could not be better.…",LauraJP23 a écrit un avis (août 2022),Date du séjour : août 2022,"Dundalk, Irlande",bubble_40,yes,"LauraJP23 a écrit un avis (août 2022)Dundalk, Irlandebubble_40"
"Love, love, loved it!","First time at this hotel and we really loved it.  The theming and the art work all around the hotel was excellent. Our room was perfect, clean, spacious and modern.  Breakfast was a buffet with plenty of choice, ate as much as we needed each morning to set us up for the day.  Pool, was a little cold but really refreshing after a hot day at the parks.  Location perfect, less than a 10 mins walk to the gates and centrally located to access other hotels.  We Met two Marvel hero’s which is only for hotel guests - .Thor and Loki, although you do not know which you will get when you book in.  Staff were lovely, very polite was surprised that some of the French speaking staff were actually English as their French was so good.  All in all a great stay, a little expensive would be my…",Allylou2002 a écrit un avis (août 2022),Date du séjour : août 2022,"Liverpool, Royaume-Uni",bubble_50,yes,"Allylou2002 a écrit un avis (août 2022)Liverpool, Royaume-Unibubble_50"
It wasn’t “marvellous”….,"It’s hard to describe but it was just a bit disappointing…..  +ve  On arrival, staff were friendly and welcoming. It’s a cool hotel with nice marvel details. It’s clean. Pool is nice with outdoor / indoor  -ve  Once in we had to chase our luggage to be brought to the room.  Room was a little small….and although we paid for garden view…we were looking at the roof top of the hotel.  Single bed for our 5 year old was really small. Torn duvet.  Throughout our 3 nights, shower gel was empty. Room make up was late every day (usually around 3pm).  Breakfast was buffet and average at best.  Disney is for kids….no characters in the hotel (I’ve stayed in the Disney hotel and we saw them regularly).  Generally the hotel just felt a little flat and soulless.  Oh and ponchos were 12 euros -…",GOwen a écrit un avis (août 2022),Date du séjour : août 2022,"Echt, Royaume-Uni",bubble_30,yes,"GOwen a écrit un avis (août 2022)Echt, Royaume-Unibubble_30"
Séjour magique dans un suite Spider Man,"Pour notre première fois à Disneyland nous avons séjourné 2 nuits en famille dans une suite Spider Man. La suite est magnifique, très élégante, décorée avec goût et fidèle à son thème. La literie est plus que confortable aussi bien pour les parents que les enfants. Il y a deux salles de bains avec tout le nécessaire. Les enfants ont reçus plusieurs cadeaux dans la chambre.  Le personnel est aux petits soins, à la réception qui a fait des miracles pour nous trouver une place à l’auberge de Cendrillon et au restaurant Manhattan. Je contredis d’ailleurs un des commentaires précédents, nos trois enfants ont adoré aussi bien le restaurant que les petits déjeuners et goûters. Ils ont mangé entre autre des lasagnes, de la glace, salade de fruit. Tout est de qualité, frais, présenté…",emilie p a écrit un avis (août 2022),Date du séjour : août 2022,"Riedisheim, France",bubble_50,no,"emilie p a écrit un avis (août 2022)Riedisheim, Francebubble_50"
Out Of This World,From the second we arrived to check in the staff could not have been friendlier and more attentive. The room was modern and clean with marvel artwork not only in the room but throughout the hotel to discover. We ate in the Manhattan restaurant which was beautiful. The hotel is a five minute walk to Disney village. You also must make it a must to visit the cocktail bar with marvel themed drinks you will not be disappointed.,Aimee a écrit un avis (août 2022),Date du séjour : janvier 2022,Irlande,bubble_50,yes,Aimee a écrit un avis (août 2022)Irlandebubble_50
Magnifique,"Tout était magnifique, merci mille fois.  Nous séjournions en suite super héros, empire State club.  Les points positifs :  - l’accueil personnalisé en petit lounge privé  - la suite incroyable, parfaitement propre, hyper moderne, truffée de petites attentions, notamment pour les enfants qui ont adoré leurs cadeaux. - trés bon petit déjeuner, le service irréprochable  - l’espacé piscine est magnifique, parfaitement propre, agréable et très sécurisé  - mention spéciale pour les pâtisseries du goûter au lounge empire State club, elles étaient absolument délicieuses !  LE point négatif :  Absence de saumon au petit déjeuner, ce qui devrait être la base pour les personnes ne mangeant pas de viande.   Encore merci pour ce séjour incroyable, on a hâte de revenir.",Pamelab a écrit un avis (août 2022),Date du séjour : août 2022,"None, None",bubble_50,no,"Pamelab a écrit un avis (août 2022)None, Nonebubble_50"
Un peu trop cher,"Hôtel joliment rénové, les chambres sont très agréables, la salle de bain est vieillotte, dommage... En ce qui concerne le petit déjeuner nous étions dans une salle sans fenêtres qui ressemblait plus à un réfectoire qu'autre chose... Pour le prix, ce n'est pas au niveau d'un quatre étoiles qui est bien trop élevé, même si nous sommes à Disney ! Nous préférons séjourner au Newport bay, même si il est plus loin. ",grgwn a écrit un avis (août 2022),Date du séjour : août 2022,"Bordeaux, France",bubble_30,no,"grgwn a écrit un avis (août 2022)Bordeaux, Francebubble_30"
Lindo Hotel,"El hotel es muy bonito y cómodo. Todo relacionado con Marvel tiene unas áreas para las fotos geniales. Los cuartos son grandes las camas son muy buenas las almohadas también. El baño es cómodo hasta el jabón tiene el logo marvel. Tiene mucho detalle. En el paquete que compramos teníamos acceso al parque todos los días de nuestra estadía más acceso una hora antes. El desayuno incluido muy bueno. Tuvimos un gran inconveniente con el personal de seguridad del hotel con un juguete de mi hijo de 10 años. Mi hijo tiene un calidoscopio, después del segundo día de estar en el hotel un irracional agente de seguridad lo detiene a él y a su juguete y no le permitió el ingreso al hotel además de eso agarró  al niño.  Mi hijo se puso a llorar. Le dañaron su estadía es increíble que un…",Gonzalo Cortes a écrit un avis (août 2022),Date du séjour : août 2022,"Madrid, Espagne",bubble_40,no,"Gonzalo Cortes a écrit un avis (août 2022)Madrid, Espagnebubble_40"
Fabuleux !,"Nous avons passé trois jours fantastiques Hôtel à la hauteur de nos attentes Service exceptionnel chambres superbes, mais surtout le plus important le personnel d’une efficacité redoutable et d’un professionnalisme extra rien à redire tout était exceptionnel",Tituse a écrit un avis (août 2022),Date du séjour : août 2022,"None, None",bubble_50,yes,"Tituse a écrit un avis (août 2022)None, Nonebubble_50"
Séjour,Toppppppp c'est un hôtel exceptionnelle rien a dire la bouffe l'accueil la literie top rien à dire c'est vraiment l'énorme je vous jure a ne pas râté surtout la déco le petit déjeuner l'emplacement le service et surtout l'hygiène 10 sur 10 bravo a vous,Mhd a écrit un avis (août 2022),Date du séjour : juin 2022,"None, None",bubble_50,yes,"Mhd a écrit un avis (août 2022)None, Nonebubble_50"
Marvel,"Ho soggiornato in questo hotel con la mia famiglia a luglio 2022, hotel a tema Marvel, ben curato e pulito, abbiamo approfittato anche della piscina, il personale molto gentile e cortese, colazione nella norma, ottimi i servizi, meno il ristorante.",Pasquale G. a écrit un avis (juil. 2022),Date du séjour : juillet 2022,"Sicile, Italie",bubble_40,yes,"Pasquale G. a écrit un avis (juil. 2022)Sicile, Italiebubble_40"
לא שווה את המחיר הגבוה אך חוויה מהנה!,"המלון ממוקם קרוב מאוד לפארקים של דיסנילנד ו לפארק הסרטים של דיסני, החדרים נקיים מאוד המלון מעולב על פי הגיבורים של מארוול אך המחיר הגבוה אינו שווה את זה  שילמנו 6000 שקלים המחיר לא מצדיק זאת מומלץ לא לקחת ארוחת בוקר היא אינה טובה המלון הוא בשביל לנוח ולישון ולא יותר מזה.",Guy levy55 a écrit un avis (juil. 2022),Date du séjour : juillet 2022,"Ashdod, Israël",bubble_40,no,"Guy levy55 a écrit un avis (juil. 2022)Ashdod, Israëlbubble_40"
Hotel superbe après travaux  empire state club mais services et organisations à revoir,"Nous avons été au art of Marvel le 24 octobre comme en chambre avec vue lac et étage privatif la réception est à part moins d attente sauf que pour notre séjour les debuts ont été chaotiques nous avons été directement dans le parc histoire de ne pas perdre de temps nous sommes donc revenus à l hôtel pour 15h et la le calvaire commence nous attendons plus d 1 h30 notre chambre n est pas prête nous sommes la comme des idiots au bout d une heure 30 ont nous propose une chambre d attente standard pour nous rendre a la piscine sauf que nous n'avons pas la clés de chambre résultat nous sommes enfermés sans pouvoir faire quoi que se soit et la je craque je me rends au bureau privé et j explose c est honteux au prix du séjour nous sommes à  l hôtel, pas de chambre pas d attraction pas…",bigoudi p a écrit un avis (juil. 2022),Date du séjour : octobre 2021,France,bubble_30,yes,bigoudi p a écrit un avis (juil. 2022)Francebubble_30
Way overpriced for what you get,Hate to say but vastly overpriced for the experience you get. Yes marvel details are great for the kids but for what it costs everything else was sadly lacking.  Perhaps just unlucky but luggage took over 7 hours to get to our room in the end we had to go find it ourselves and it had been put in the outbound pile as opposed to new arrivals. Can be forgiven I guess but for a 4 star hotel not great.  Food at the “Empire State buffet” was absolutely awful. 45euro ahead I have seen a better buffet at Pizza Hut. Beyond dreadful. To be fair desserts were impressive but to pay that price and leave hungry is poor. For the price you pay breakfast will still cost you 30euro a head more. We declined this morning.  Skyline bar which we looked forward to some rooftop drinks is sadly on the…,HL75 a écrit un avis (juil. 2022),Date du séjour : juillet 2022,"Édimbourg, Royaume-Uni",bubble_20,no,"HL75 a écrit un avis (juil. 2022)Édimbourg, Royaume-Unibubble_20"
Average experience,Given the huge price tag we just expected more. Slightly refurbished hotel with nice rooms. Check-in experience bad: rooms not ready on official check-in time. Food terrible as is the case throughout the hotel and the whole Disneyland parks. Will not return,The Travel Squad a écrit un avis (juil. 2022),Date du séjour : juin 2022,"Bucarest, Roumanie",bubble_30,no,"The Travel Squad a écrit un avis (juil. 2022)Bucarest, Roumaniebubble_30"
What a hotel - the avengers suite is amazing,This place is amazing!!!! We were gutted to only be staying for one night. What a place!   We stayed in an Avengers Suite - we arrived very early in the morning to make use of the extra magic hours. Angelo was fantastic on our check in at the Empire Club Lounge. Super helpful but also very efficient.   We were notified when our room was ready - really delighted with it. The extra touches were very well appreciated by the children and adults alike.   What a treat to stay at this hotel. We loved every moment of it and can’t wait to come back.,nats1800 a écrit un avis (juil. 2022),Date du séjour : juillet 2022,"Royal Tunbridge Wells, Royaume-Uni",bubble_50,no,"nats1800 a écrit un avis (juil. 2022)Royal Tunbridge Wells, Royaume-Unibubble_50"
Lovely trip,"Really nice feeling in the hotel with the design and art work. Helpful staff, modern/comfy room and fantastic breakfast and evening meals . Hero station a nice bonus. Being near the park really helps build rest into the day which made the overall stay much more enjoyable.",DayTrip80890 a écrit un avis (juil. 2022),Date du séjour : février 2022,"None, None",bubble_50,no,"DayTrip80890 a écrit un avis (juil. 2022)None, Nonebubble_50"
Très confortable ,"Chambres d'un confort parfait, décoration superbe, stylée, piscine agréable, accès en 5 min par le village et personnel très souriant et pro. Vu la fréquentation absurde du parc de 11h à 17h: la pause à l'hôtel est bienvenue pour gérer sa journée au mieux.  ",Pouloupoulpou a écrit un avis (juil. 2022),Date du séjour : juillet 2022,"None, None",bubble_50,no,"Pouloupoulpou a écrit un avis (juil. 2022)None, Nonebubble_50"
Absolument  fantastique,"Wahoo !!!!! Il est superbe !! La décoration est fantastique.  Il y a des détails partout,  des affiches, des objets... c'était splendide !! La chambre classique est déjà  splendide.  Je n'imagine pas les chambres supérieures !! Tout est beau. Le personnel est adorable et les demandes sont toujours prises en compte rapidement.  Nous rêvons déjà d'y retourner !! La piscine est agréable,  surtout après une longue journée sur les parcs.  Le petit déjeuner est gargantuesque et d'assez bonne qualité.  A faire et à  refaire,  encore plus pour les fans marvel",bob15011106 a écrit un avis (juil. 2022),Date du séjour : juin 2022,"Bonneville, France",bubble_50,no,"bob15011106 a écrit un avis (juil. 2022)Bonneville, Francebubble_50"
