titre_commentaire,commentaire,Mois_Avis,Annee_Avis,Ville,Pays,Mois_Sejour,Annee_Sejour,Note,Photo,langue,latitude_city,longitude_city,Pays_recod,Contient_recod,lat_Pays,Lon_Pays,Ville_recod
Le facteur wow s'estompe bientôt...,"J'ai réservé cela dans le cadre d'un 25e anniversaire de mariage avec nos enfants. Leur premier voyage à Disney, en fait leurs premières vacances à l'étranger. Nous nous sommes éclatés car cet hôtel avait l'air génial. A votre arrivée vous n'êtes pas déçu. Le hall d'entrée est époustouflant avec beaucoup de trucs Marvel pour vous mettre en appétit. Mais après cela, les choses se sont détériorées. Je vais essayer d'expliquer les déceptions dans un instant. Les gros avantages étaient le personnel adorable et le restaurant du centre-ville où nous avions deux petits déjeuners buffet et un dîner buffet le soir. La nourriture était excellente, beaucoup de choix pour garder les enfants difficiles heureux et beaucoup de friandises sur le thème de Marvel (qui ne veut pas mordre la tête d'un Groot au chocolat !?!). D'accord, passons aux reproches : - Lorsque nous sommes arrivés le matin, j'ai rejoint une longue file d'attente pour que nous puissions…",septembre,2022,Worcestershire, Royaume-Uni,août,2022,3,no,en,52.2109495,-2.156955513242221,Royaume-Uni,Europe,52.21094330613689,-2.156753812609079,Wychavon
bien mais peut mieux faire.,"globalement c'est bien mais des choses a revoir. L'hôtel est beau. Les chambres sont grandes, la salle de bain par contre un peu petite et il manque un chauffe-serviette et une brosse wc (et les finitions de peinture sont moyens). il est dommage à la boutique de retrouver beaucoup de choses identique au parc. ça manque aussi d'un petit stand de gourmandises sur le thème du parc. il faudrait proposer des chambres standards avec 1 seul lit, ce serait mieux quand on est seul. Par contre que l'hôtel possède des chambres pmr est normal mais ne les donner pas à des personnes valides, au prix du séjour c'est vraiment inadmissible, heureusement que j'ai pu changer et avoir une vraie chambre.",septembre,2022,Villeurbanne, France,septembre,2022,3,no,fr,45.7733573,4.8868454,France,Europe,45.7736583,4.8869255,Villeurbanne
Magnifique,"C'est un autre monde. Dès que vous entrez, vous vous rendez compte que ce n'est pas un simple hôtel. Décoration spectaculaire, et plus encore pour les fans de Marvel comme moi. La chambre fantastique. Le lit est super, les oreillers au choix, la télévision cachée dans le miroir... tout est incroyable. Les rencontres avec les personnages de Marvel, super. Les restaurants, très bien. Petit déjeuner très complet avec variété et qualité. Le personnel, formidable. Vous n'avez pas besoin de parler anglais ou français... presque tout le monde parle espagnol, comme dans les Parcs Disney et dans le Village. Cet hôtel vaut le coup...",septembre,2022,Malaga, Espagne,juillet,2022,5,no,es,36.7213028,-4.4216366,Espagne,Europe,36.72062355,-4.420264860444673,Malaga
Très bon séjour ,"Nous avons séjourné 2 nuits à l'hôtel Disney's New York Marvel et nous avons été satisfaits de notre séjour.  L'hôtel est magnifique et très bien rénové. Les chambres sont modernes, fonctionnelles, très bien décorées.  Point négatif cependant, nous étions au troisième étage et entendions le bruit du restaurant qui se trouve au rez-de-chaussée. C'est assez désagréable, surtout que cela dur toute la journée et surtout jusqu'à 2 voir 3h du matin et que cela reprend à 7h.  Nous en avons fait part à la réception, qui nous a proposé de nous changer de chambre pour une catégorie supérieure étant donné que l'hôtel était complet à cette période. Comme il était déjà tard et que notre fils était sur le point de se coucher, nous avons décliné la proposition. Il nous a alors été offert un…",septembre,2022,Nyon, Suisse,septembre,2022,4,no,fr,46.3820585,6.2402791,None,None,None,None,None
Un bel hôtel si les détails ne vous dérangent pas,"Nous sommes allés avec ma famille de 4 personnes. L'accueil et le C/In ont été assez rapides. Chaque partie de l'hôtel est décorée de photos de héros Marvel. Y compris les planchers. Assurez-vous de participer à l'activité avec les héros. Le personnel était sympathique dans tous les domaines mais pas très serviable. La chambre est neuve et confortable. Les équipements de la salle de bain sont limités. Il n'y avait même pas de pantoufles. Le nettoyage des chambres n'était pas très fiable. Le petit déjeuner était bon selon les normes européennes. Vous remplissez votre estomac. Dans un hôtel de ce standing, je ne trouvais pas convenable d'aller au buffet même pour prendre du thé et du café. J'ai même demandé du sel, le personnel m'a poliment montré le buffet. Le dîner à la carte des restaurants, le menu, la présentation et le service sont des points complets. Cet hôtel, très proche de Disney, offre un avantage incroyable. La distance de marche est de 10 min. En partant tôt le matin ou tard le soir, avant que les files d'attente ne se forment…",septembre,2022,Belek, Turquie,septembre,2022,4,yes,tr,39.9385331,53.8473055,None,None,None,None,None
"Ne vaut pas votre argent, absolument pas de magie Disney. Le salon Empire State était une arnaque.","Je suis un voyageur expérimenté de Disney. J'adore séjourner dans les hôtels Disney pour découvrir davantage la ""magie"" de Disney. Cet hôtel était bien trop cher et n'avait aucune magie. Nous sommes arrivés à 130h le jour de l'enregistrement. À votre arrivée, vous devez faire passer vos bagages dans une machine à rayons X et chaque fois que vous entrez dans l'hôtel, vous devez également être scanné. Normalement, cela ne me dérangerait pas, mais nos bagages avaient un couteau de cuisine lorsque nous achetons de la nourriture pendant que nous voyageons et achetons de la nourriture car nous n'aimons pas toujours manger au restaurant. Bien sûr, ce n'était pas autorisé dans l'hôtel, pas de problème, ils l'ont gardé jusqu'au départ. Ce processus a pris environ 45 minutes pour que quelqu'un approuve notre couteau et l'autorise dans un coffre-fort. Nous sommes allés à la section club pour l'enregistrement. Cela s'appelle le club d'État Empore, je pense. N'importe quel niveau de club à Disney…",septembre,2022,Nanaimo, Canada,septembre,2022,1,no,en,49.163877,-123.938122,Canada,North America,49.163897,-123.93816636029412,Nanaimo
très belle déco Marvel,"très bon accueil à la réception où on a pu récupérer nos Magic pass ( carte d'accès à la chambre et aux deux parcs ). Hôtel ayant pris un sérieux coup de jeune avec la thématisation Marvel ( de nombreux tableaux , un accès privilégié pour des photos avec les héros , un bar Sky line très sympa  avec son écran géant animé ). La chambre joliment décorée et feutrée, écran TV géant , twins bed très confortables, sdb un peu petite mais ça va...) . Pdj bon et varié ( tout en self même les boissons chaudes ). l'Hôtel est raccord avec l'Avengers Campus,  à eux deux ils nous ont fait vivre une nouvelle expérience à Disneyland Paris.   ",septembre,2022,La Réunion,None,août,2022,4,no,fr,-21.130737949999997,55.536480112992315,None,None,None,None,None
Suite Spiderman dans tous les sens,"hôtel cool, plein de choses Marvel, personnel gentil et serviable, mais tout est à revoir sur la propreté ! chambre à notre arrivée assez sale, salles de bains (il y en avait deux) pleines de cheveux par terre et draps tachés de sang (qui ont ensuite été rapidement changés). Nous avions la suite sur le thème de Spiderman dans tous les sens, en plus du tableau suspendu, nous avions au moins une douzaine d'araignées errant sur le tapis et les murs!",septembre,2022,Vigano, Italie,septembre,2022,2,no,it,45.7246346,9.3245602,None,None,None,None,None
Grand et un peu chaotique,"Compte tenu du prix que Disney facture pour ces hôtels, j'espère vraiment qu'ils pourront améliorer la qualité de l'expérience. Avantages : - Accès le plus facile à Disney actuellement. - Grande piscine - immense et belle fonctionnalité intérieure / extérieure. Notre meilleure expérience à l'hôtel ! - Grands espaces communs tels que le club Heroes et d'autres salles de jeux en vedette. - Joli décor surtout dans le hall et les espaces communs. - La nourriture du service de chambre était bonne et rapide - la nourriture était bonne à Disneyland en général. Le buffet du petit déjeuner était particulièrement agréable. Points négatifs : - Nous étions à l'Empire Club et l'enregistrement a pris 45 minutes. Seulement environ 5 à 10 minutes d'attente jusqu'à notre tour mais ensuite toutes les discussions/documents, etc. . . Nous étions fatigués après une journée de voyage et nous voulions juste la clé de notre chambre !! - Bien que tout soit neuf, brillant et personnalisé, le…",septembre,2022,New York, État de New York,août,2022,3,no,en,40.7127281,-74.0060152,États-Unis d'Amérique,North America,40.71273945,-74.00593904130275,New York
LA PERFECTION,"Je n'y suis resté qu'une nuit malheureusement :-( Hôtel parfait, 4 étoiles, grande chambre, chambre propre, lit et oreillers très confortables. Bouteilles d'eau, bouilloire, cafetière et mini frigo sont à disposition dans la chambre. Chaque étage est dédié à un super-héros. Plusieurs ascenseurs, bagagerie, service de ""transport"" des bagages jusqu'à la chambre. Personnel polyglotte, gentil et très serviable. Piscine avec hydromassage aussi : ils fournissent des serviettes, pour ceux qui en ont besoin il y a une machine qui fournit des costumes et des lunettes ; l'après-midi une partie de la piscine extérieure est également ouverte. Présence d'un maître-nageur. Il y a un vestiaire équipé de sanitaires, douches et casiers. Petit-déjeuner buffet parfait (payant), large choix aussi bien sucré que salé. à quelques pas du parc.…",septembre,2022,Cassolnovo, Italie,août,2022,5,yes,it,45.3655599,8.8100884,None,None,None,None,None
Cher mais incroyable,"Nous venons de passer quelques nuits dans cet hôtel... wow. L'odeur, le travail d'art, l'attention portée aux détails est incroyable. La station de super-héros est un ajout incroyable avec des rencontres de personnages dédiés et nous en avons environ 8 sur notre Photopass, les stations de photos séparées sont également amusantes ! Vous ne vous sentez pas du tout pressé. Notre chambre avait une vue imprenable sur le jardin, assez de place pour se détendre avec un café par les immenses fenêtres, malgré deux lits doubles dans la chambre. La douche à l'italienne était charmante. Le personnel était super et sympathique, j'ai commandé à mon fils un verre qu'il a pris une gorgée et qu'il n'a pas aimé et à 12 euros j'étais mortifié, mais le steward du bar l'a remarqué et lui a pris autre chose et n'a pas facturé la boisson originale ! Seuls inconvénients pour moi. . . l'enregistrement pourrait être un peu…",septembre,2022,Middlewich, Royaume-Uni,août,2022,4,yes,en,53.1927371,-2.4453171,None,None,None,None,None
Établissement chic avec activités pour enfants,"Le hall de l'hôtel est vaste et classique. Le personnel est très serviable et sympathique. Je ne parle pas français, juste assez pour se faire acheter. Ils étaient si gentils. La chambre est magnifique. Ils n'ont pas de baignoire mais la douche est géniale. Nous avons fait le buffet et c'était parfait. Disneyland en Californie devrait prendre quelques conseils de cuisine de leurs chefs. Le seul problème était le service de blanchisserie. Nous voulions des peluches et des plis et ils ont été nettoyés à sec à la place. c'était 176,00. Je pense que c'était une erreur de communication. Ils ont fait un excellent travail.",septembre,2022,Menlo Park, Californie,août,2022,5,no,en,37.4519671,-122.1779927,None,None,None,None,None
La magie de disney,"C’est un pur bonheur. La chambre est propre, le personnel attentionné. Il a y des détails attentionnés dans la chambre.  La proximité entre l’hôtel et le parc est un plus. Nous avons pu rencontrer Spiderman dans l’hôtel. Mention spéciale pour le bar de l’hôtel qui vaut le détour, les enfants sont émerveillés.",août,2022,Vence, France,juin,2022,5,yes,fr,43.7228003,7.1134479,None,None,None,None,None
Merveilleux hôtel !!,"Nous avons passé 3 jours à l'hôtel. Mon fils qui est amoureux de Marvel a adoré cet endroit. La première chose qui vous impressionne est la décoration avec tous les héros Marvel tout autour de l'hôtel. Nous avons eu un enregistrement en ligne, donc tout a été rapide à la réception. Le personnel était sympathique et serviable. Ils nous ont réservé une réunion de caractère qui était incroyable et c'est quelque chose que vous ne devez pas manquer. (C'est seulement pour les clients de l'hôtel). Nous avions une chambre avec vue sur le jardin qui était belle et propre. Nous avons apprécié les deux lits doubles. La salle de bain était également très propre. Nous avons été un peu déçus qu'ils n'aient pas mis d'autre eau dans le réfrigérateur à part le premier jour. Le petit déjeuner était excellent. Il y avait un buffet avec beaucoup de choix dans les deux restaurants de l'hôtel. Ce fut un excellent séjour et nous espérons…",août,2022,Limassol, Chypre,août,2022,5,yes,en,34.6852901,33.0332657,Chypre,Asia,34.68543885,33.033269499999996,Limassol
Anniversaire 🎂 🎁 de notre fils,"Pour les 12 ans de notre fils nous sommes partis 4 jours à l'hôtel Disney Marvel New York.  C est la troisième fois que nous venons et à chaque fois nous sommes émerveillés !!! Très bel hôtel, la conciergerie avait préparé l anniversaire 🎂 de notre fils sur le thème de Spiderman, c était magnifique !! L arrivée du gâteau sur un chariot avec ballon et jouet , notre fils était aux anges !! Nous reviendrons pour Noël car la décoration pour les fêtes est sublime.",août,2022,None, None,août,2022,5,yes,fr,44.933143,7.540121,None,None,None,None,None
Allez y très vite !,"Séjour pour fêter les trente ans de mon Fils. Un vrai rêve ! Tout étais parfais. Propreté irréprochable de la chambre, literie confortable, salle de bain spacieuse et fonctionnelle. La cerise sur la chantilly est la gentillesse, et le professionnalisme du personnel, que nous remercions sincèrement. Nous n'avons qu'un hâte, y retourner !",août,2022,None, None,juillet,2022,5,no,fr,44.933143,7.540121,None,None,None,None,None
Considérations réalistes sur mon séjour,"Hôtel magique, pour les enfants mais aussi pour nous les adultes. Excellent emplacement, environnement unique sur le thème de Marvel, nous avons séjourné dans la suite Spiderman 7200, magnifique, il n'y a pas d'autres commentaires à faire. La seule remarque est le restaurant Manhattan qui pourrait peut-être changer le menu à la carte tous les soirs mais c'est toujours pareil, on parle toujours d'un hôtel 4 étoiles supérieur. Petit-déjeuner dans l'espace privé et collations vraiment excellentes. Rencontre avec les personnages spectaculaires !!! Nous reviendrons!!!",août,2022,None, None,juillet,2022,5,yes,it,44.933143,7.540121,None,None,None,None,None
"Belle Hotel, mais gros soucis,...","Nous venons de passer le weekend avec une nuitée et accès aux 2 pars.  afin de pouvoir faire la surprise à notre fils de 9 ans, fan des supers héros, nous avons débourser la somme qu'il fallait pour pouvoir loger au New York Hotel qui d'après leur site, permettait la rencontre de supers héros.  Autrefois, lors des petits déjeuner, nous pouvions bénéficier de la rencontre de plusieurs personnages Disney, mais le COVID est une très bonne excuse pour en faire moins.  Résultat des courses, en logeant dans ce nouvel hotel certes avec un design soigné, nous n'avons pu voir qu'un seul héro uniquement moyennant prise d'un rendez-vous via l'application et selon les tranches horaires encore disponible soit 15h45 ce qui implique de devoir quitté le parc prématurément pour revenir à l'hotel…",août,2022,None, None,août,2022,4,no,fr,44.933143,7.540121,None,None,None,None,None
Génial,"Nous avons adoré, le personnel super attentionné, l'hôtel est incroyable, vous vous immergez totalement dans le monde merveilleux et il est très proche des parcs. Le petit déjeuner ainsi que les restaurants très bien. Totalement recommandé",août,2022,Jerez De La Frontera, Espagne,août,2022,5,no,es,36.6816936,-6.1377402,Espagne,Europe,36.681524499999995,-6.138289689319848,Xérès
Très dessus,"Au prix de la nuit et vue  l'état de la chambre passait votre chemin . Même pas une excuse lors de notre réclamation , on a attendu 1h pour au final ne pas voir de personnels venir nettoyage nous avons descendre avec notre fils de 5ans et nos affaires pour que quelqu'un fasse le nécessaire et la ce jour ,alors que nous ne sommes plus la on nous offre un repas c'est une blague .vue l'état de la chambre 4* je n'ose pas imaginer l'état des cuisine . Disneyland Paris fini pour nous et on fera une très bonne pub pour votre hôtel",août,2022,None, None,août,2022,1,yes,fr,44.933143,7.540121,None,None,None,None,None
Un merveilleux séjour,"Ma famille et moi avons passé un agréable séjour de 4 jours à l'hôtel que nous avons trouvé agréable et dans l'ensemble une belle expérience. L'hôtel en lui-même est agréable avec de nombreuses œuvres d'art sur le thème de Marvel et nous avons été accueillis par un personnel amical à l'arrivée / à l'enregistrement, ainsi qu'à d'autres moments où nous avions des questions. Nous avons séjourné dans une chambre supérieure avec x2 lits doubles. la chambre était propre et était de taille suffisante pour nous quatre - mais aurait pu être un peu plus grande si je devais choisir. La piscine / sauna était bien aussi et nous avons trouvé que la nourriture était raisonnable lorsque nous dînions au restaurant du centre-ville, et mon petit a vraiment apprécié sa rencontre avec l'un des vengeurs de la station de super-héros. L'hôtel est également très bien situé pour visiter l'un des parcs Disney. Je recommanderais…",août,2022,None, None,août,2022,4,no,en,44.933143,7.540121,None,None,None,None,None
Très mauvais service,"Service client très médiocre. Le personnel était très inattentif et s'en fichait tout simplement. Tant qu'ils sont payés. Cela ne vaut pas ce prix-là. Le personnel s'en moque. Les réunions de personnages sont médiocres, l'enregistrement s'apparente à un 1 étoile et même demander un petit-déjeuner en chambre les dépasse. Ne le recommande pas.",août,2022,Haz-Zebbug, Malte,juillet,2022,2,no,en,35.8725956,14.4398593,None,None,None,None,None
Génial,"Un séjour magique dans cet hôtel flambant neuf , chambre très confortable, spacieuse. Une piscine magnifique. Le personnel est au petit soin . Un club dessin junior superbe. Bref un séjour inoubliable ! L hotel est à côté du village disney et très pres des parcs . Je recommande à 100%",août,2022,Meze, France,août,2022,5,yes,fr,49.0785352,-0.4714362,None,None,None,None,None
Marvel fou,"Pour les amoureux de Marvel, c'est l'endroit où séjourner ! Moderne et propre. Nous avons adoré toutes les œuvres d'art autour de l'hôtel avec des peintures et autres figurines merveilleuses. La suite Avengers est super ! Spacieux et moderne, peut-être un peu trop moderne car nous ne savions pas comment activer le mode nuit sans couper l'alimentation des prises. Comme nous avons payé un supplément pour la suite, nous avons été légèrement déçus qu'il n'y ait plus de laissez-passer rapides inclus dans le prix de la chambre (comme c'était le cas à Disneyland Hotel). Peut-être que la direction pourrait en tenir compte. Nous payons pour une belle chambre mais nous payons aussi pour l'expérience.",août,2022,Angleterre, Royaume-Uni,juillet,2022,5,yes,en,52.5310214,-1.2649062,None,None,None,None,None
visite du 22 août,Incroyable. Propre. Endroit très cool. Nous étions une famille de quatre personnes et la chambre était bien en termes de taille avec deux lits doubles Beau bâtiment et décoration. Personnel super. La piscine était un régal. Vraiment facile à enregistrer et à sortir. J'y retournerai si nous revenons à Disney à Paris. Court pour les parcs. 10 min max.,août,2022,Bassingham, Royaume-Uni,août,2022,5,no,en,53.128616,-0.6406939,Royaume-Uni,Europe,53.12871476038295,-0.6407688917157214,North Kesteven
magnifique à tous points de vue,"Dès l'arrivée on a l'impression d'être dans un autre hôtel, le check-in est quasi automatique, le personnel est très attentionné et sympathique, la chambre pour deux adultes et deux enfants est très spacieuse. Les lits sont très confortables et le petit déjeuner buffet est spectaculaire, dans l'un de ses deux restaurants. Il se trouve à deux pas de l'entrée de Disneyland et juste à côté de nombreux magasins et restaurants, à une extrémité du lac. Si l'on ajoute à tout cela la possibilité de voir Spiderman en exclusivité (uniquement pour les clients), alors l'expérience de séjourner dans cet hôtel ne peut être qualifiée que de magnifique.",août,2022,Madrid, Espagne,mai,2022,5,no,es,40.4167047,-3.7035825,Espagne,Europe,40.4166495,-3.7035394,Madrid
C'est un hôtel merveilleux,"Nous avions une chambre de jardin avec une terrasse la chambre était propre et beaucoup d'espace pour 2 adultes et 2 enfants. Il y avait un lit bébé déjà prévu pour l'enfant de 2 ans bien que nous ne l'avions pas demandé. Nous nous étions enregistrés en ligne, donc c'était rapide à la réception quand nous sommes arrivés. Le personnel était très serviable à la réception, le concierge était super et nous a obtenu une réservation tardive au restaurant. La piscine est fantastique et bien que 5 pieds de profondeur tout autour, ils fournissent des aides à la natation pour les enfants. Je recommanderais une visite à la piscine pour se rafraîchir après une longue journée au parc ou comme une halte dans l'après-midi avant de retourner au parc le soir. La terrasse était une bouée de sauvetage pour mettre les enfants au lit car cela signifiait que nous pouvions nous asseoir dehors sans les déranger. La merveille yheming est vraiment sympa notvtonjn…",août,2022,None, None,août,2022,5,no,en,44.933143,7.540121,None,None,None,None,None
Magique!,"Cadre féerique, digne d'un film. Dépaysement garantie! Un séjour des plus magique dans cet hôtel incroyable. Propreté et calme au rendez-vous, vu incroyable sur l'extérieur. Confort inégalable et services à la personne au top. Je recommande vivement ! Petit bémol, le temps accessible à la chambre n'excédant pas 20h pour un séjour de deux jours. ",août,2022,Metz, France,août,2022,5,yes,fr,49.1196964,6.1763552,France,Europe,49.11966855,6.176703317431882,Metz
Hôtel familial,"Une famille de quatre personnes, deux adultes de cinq ans et quatorze ans est restée trois nuits. L'enregistrement a été facile. Nous sommes arrivés tôt, donc la chambre n'était pas prête mais ils nous ont donné nos clés et nous ont dit qu'elles seraient activées à 3 heures. Reçu un SMS à 2 heures pour dire qu'ils étaient prêts. Le hall et les couloirs regorgent d'œuvres d'art merveilleuses, les enfants ont adoré. La chambre était belle, belle vue et lits super confortables. Nettoyé et réapprovisionné chaque jour. Nous avons eu un problème avec le coffre-fort et la télévision dans notre chambre et ils ont été traités rapidement et efficacement par le personnel. Sur cette note, le personnel était très accueillant et sympathique. Nous n'avons mangé dans aucun des restaurants, ils semblaient trop chers, surtout avec des enfants difficiles. Le bar Skyline est agréable pour s'asseoir et prendre un verre. L'emplacement ne pourrait pas être mieux.…",août,2022,Dundalk, Irlande,août,2022,4,yes,en,39.26243505,-76.48705853403081,États-Unis d'Amérique,North America,39.2624645,-76.4870995383338,Dundalk
"J'adore, j'adore, j'ai adoré !","Première fois dans cet hôtel et nous avons vraiment adoré. Le thème et les œuvres d'art tout autour de l'hôtel étaient excellents. Notre chambre était parfaite, propre, spacieuse et moderne. Le petit déjeuner était un buffet avec beaucoup de choix, mangé autant que nous avions besoin chaque matin pour nous préparer pour la journée. La piscine était un peu froide mais vraiment rafraîchissante après une chaude journée dans les parcs. Emplacement parfait, à moins de 10 minutes à pied des portes et situé au centre pour accéder aux autres hôtels. Nous avons rencontré deux héros Marvel qui sont réservés aux clients de l'hôtel -. Thor et Loki, bien que vous ne sachiez pas lequel vous obtiendrez lors de votre réservation. Le personnel était adorable, très poli, j'ai été surpris que certains membres du personnel parlant français soient en fait anglais comme leur français était si bon. Dans l'ensemble, un excellent séjour, un peu cher serait mon…",août,2022,Liverpool, Royaume-Uni,août,2022,5,yes,en,53.4071991,-2.99168,Royaume-Uni,Europe,53.40712295,-2.991607807872346,Liverpool
"Ce n'était pas ""magnifique""...","C'est difficile à décrire mais c'était juste un peu décevant… .. +ve À l'arrivée, le personnel était sympathique et accueillant. C'est un hôtel cool avec de jolis détails merveilleux. C'est propre. La piscine est belle avec extérieur / intérieur -ve Une fois à l'intérieur, nous avons dû chasser nos bagages pour être amenés dans la chambre. La chambre était un peu petite….et bien que nous ayons payé pour la vue sur le jardin…nous regardions le toit de l'hôtel. Le lit simple pour notre enfant de 5 ans était vraiment petit. Couette déchirée. Tout au long de nos 3 nuits, le gel douche était vide. Le maquillage de la chambre était en retard tous les jours (généralement vers 15 heures). Le petit déjeuner était sous forme de buffet et moyen au mieux. Disney est pour les enfants… pas de personnages dans l'hôtel (j'ai séjourné à l'hôtel Disney et nous les avons vus régulièrement). En général, l'hôtel se sentait un peu plat et sans âme. Oh et les ponchos coûtaient 12 euros -…",août,2022,Echt, Royaume-Uni,août,2022,3,yes,en,51.1073016,5.8719765,None,None,None,None,None
Séjour magique dans un suite Spider Man,"Pour notre première fois à Disneyland nous avons séjourné 2 nuits en famille dans une suite Spider Man. La suite est magnifique, très élégante, décorée avec goût et fidèle à son thème. La literie est plus que confortable aussi bien pour les parents que les enfants. Il y a deux salles de bains avec tout le nécessaire. Les enfants ont reçus plusieurs cadeaux dans la chambre.  Le personnel est aux petits soins, à la réception qui a fait des miracles pour nous trouver une place à l’auberge de Cendrillon et au restaurant Manhattan. Je contredis d’ailleurs un des commentaires précédents, nos trois enfants ont adoré aussi bien le restaurant que les petits déjeuners et goûters. Ils ont mangé entre autre des lasagnes, de la glace, salade de fruit. Tout est de qualité, frais, présenté…",août,2022,Riedisheim, France,août,2022,5,no,fr,47.7492477,7.3682858,None,None,None,None,None
Hors de ce monde,"Dès la seconde où nous sommes arrivés pour nous enregistrer, le personnel n'aurait pas pu être plus sympathique et plus attentionné. La chambre était moderne et propre avec des œuvres d'art merveilleuses non seulement dans la chambre mais dans tout l'hôtel à découvrir. Nous avons mangé au restaurant de Manhattan qui était magnifique. L'hôtel est à cinq minutes à pied du village de Disney. Vous devez également en faire un incontournable pour visiter le bar à cocktails avec des boissons à thème merveilleuses, vous ne serez pas déçu.",août,2022,Irlande,None,janvier,2022,5,yes,en,52.865196,-7.9794599,None,None,None,None,None
Magnifique,"Tout était magnifique, merci mille fois.  Nous séjournions en suite super héros, empire State club.  Les points positifs :  - l’accueil personnalisé en petit lounge privé  - la suite incroyable, parfaitement propre, hyper moderne, truffée de petites attentions, notamment pour les enfants qui ont adoré leurs cadeaux. - trés bon petit déjeuner, le service irréprochable  - l’espacé piscine est magnifique, parfaitement propre, agréable et très sécurisé  - mention spéciale pour les pâtisseries du goûter au lounge empire State club, elles étaient absolument délicieuses !  LE point négatif :  Absence de saumon au petit déjeuner, ce qui devrait être la base pour les personnes ne mangeant pas de viande.   Encore merci pour ce séjour incroyable, on a hâte de revenir.",août,2022,None, None,août,2022,5,no,fr,44.933143,7.540121,None,None,None,None,None
Un peu trop cher,"Hôtel joliment rénové, les chambres sont très agréables, la salle de bain est vieillotte, dommage... En ce qui concerne le petit déjeuner nous étions dans une salle sans fenêtres qui ressemblait plus à un réfectoire qu'autre chose... Pour le prix, ce n'est pas au niveau d'un quatre étoiles qui est bien trop élevé, même si nous sommes à Disney ! Nous préférons séjourner au Newport bay, même si il est plus loin. ",août,2022,Bordeaux, France,août,2022,3,no,fr,44.841225,-0.5800364,France,Europe,44.8412311,-0.5799616,Bordeaux
bel hôtel,"L'hôtel est très agréable et confortable. Tout ce qui concerne Marvel a de superbes zones photo. Les chambres sont grandes, les lits sont très bons, les oreillers aussi. La salle de bain est confortable même le savon a le logo Marvel. Il a beaucoup de détails. Dans le forfait que nous avons acheté, nous avions accès au parc tous les jours de notre séjour plus un accès une heure avant. Le petit déjeuner inclus était très bon. Nous avons eu un gros problème avec le personnel de sécurité de l'hôtel avec un jouet appartenant à mon fils de 10 ans. Mon fils a un kaléidoscope, après le deuxième jour d'être à l'hôtel, un agent de sécurité irrationnel le détient ainsi que son jouet et ne lui a pas permis d'entrer dans l'hôtel en plus de cela, il a attrapé l'enfant. Mon fils s'est mis à pleurer. Ils ont gâché votre séjour c'est incroyable qu'un…",août,2022,Madrid, Espagne,août,2022,4,no,es,40.4167047,-3.7035825,Espagne,Europe,40.4166495,-3.7035394,Madrid
Fabuleux !,"Nous avons passé trois jours fantastiques Hôtel à la hauteur de nos attentes Service exceptionnel chambres superbes, mais surtout le plus important le personnel d’une efficacité redoutable et d’un professionnalisme extra rien à redire tout était exceptionnel",août,2022,None, None,août,2022,5,yes,fr,44.933143,7.540121,None,None,None,None,None
Séjour,Toppppppp c'est un hôtel exceptionnelle rien a dire la bouffe l'accueil la literie top rien à dire c'est vraiment l'énorme je vous jure a ne pas râté surtout la déco le petit déjeuner l'emplacement le service et surtout l'hygiène 10 sur 10 bravo a vous,août,2022,None, None,juin,2022,5,yes,fr,44.933143,7.540121,None,None,None,None,None
merveille,"J'ai séjourné dans cet hôtel avec ma famille en juillet 2022, un hôtel sur le thème de Marvel, bien entretenu et propre, nous avons également profité de la piscine, du personnel très gentil et courtois, du petit déjeuner standard, d'excellents services, moins le restaurant.",juillet,2022,Sicile, Italie,juillet,2022,4,yes,it,37.587794,14.155048,None,None,None,None,None
Ne vaut pas le prix élevé mais une expérience amusante!,"L'hôtel est situé tout près des parcs de Disneyland et du parc de cinéma Disney, les chambres sont très propres, l'hôtel est décoré selon les héros de Marvel, mais le prix élevé n'en vaut pas la peine, nous avons payé 6000 shekels, le prix ne le justifie pas, il est déconseillé de prendre le petit déjeuner, ce n'est pas bon, l'hôtel est fait pour se reposer et dormir et pas plus que ça.",juillet,2022,Ashdod, Israël,juillet,2022,4,no,he,31.7977314,34.6529922,Israël,Asia,31.797379417162265,34.65351672758213,אשדוד
Hotel superbe après travaux  empire state club mais services et organisations à revoir,"Nous avons été au art of Marvel le 24 octobre comme en chambre avec vue lac et étage privatif la réception est à part moins d attente sauf que pour notre séjour les debuts ont été chaotiques nous avons été directement dans le parc histoire de ne pas perdre de temps nous sommes donc revenus à l hôtel pour 15h et la le calvaire commence nous attendons plus d 1 h30 notre chambre n est pas prête nous sommes la comme des idiots au bout d une heure 30 ont nous propose une chambre d attente standard pour nous rendre a la piscine sauf que nous n'avons pas la clés de chambre résultat nous sommes enfermés sans pouvoir faire quoi que se soit et la je craque je me rends au bureau privé et j explose c est honteux au prix du séjour nous sommes à  l hôtel, pas de chambre pas d attraction pas…",juillet,2022,France,None,octobre,2021,3,yes,fr,46.603354,1.8883335,None,None,None,None,None
