dateSejour,situation,titre_comm,comm,loc,langue,dateAvis,note,photo
nov. 2021, En famille,déçu,"Beaucoup beaucoup trop d'attente; les files ne sont pas surveillées, et certaines personnes se permettent de bousculer, crier, passer devant...honteux. Il faudrait du personnel de sécurité pour veiller au grain dans les fils fermées comme celle de Buzz où on a frôlé l'incident. Reste la magie de Disney et des attractions sympas -notre préféré a été le ...maquillage^^ car pas d'attente-; ainsi qu'un personnel sympa.",42 contributions,fr,Écrit le 19 août 2022,"3,0 sur 5 bulles",no
août 2022 , En famille,Marvel et cie…,"De retour au parc (dernière visite 2016) les enfants ayant grandi, l’univers Marvel était de miseMalheureusement nous n’avons pas pu faire Spider-Man W.E.B. Adventure, premier jour 90’ d’attente (en pleine canicule non merci) et le lendemain nouvelle déception elle est en panne…Idem pour le Crush's Coaster…des délais d’attente monstrueux même en single …ou une attraction en panne. Point d’amélioration vu la canicule : plus de fontaines à eau (3,50 € / boisson c’est abuser !!!) des brumes pour rafraîchir, des tonnelles…soyez créatifs Disney ! Globalement toutes les attractions que nous avons pu faire en deux jours étaient qualitatives…les snacks proposés sont plus attractifs que dans l’autre parc pour peu que l’on fasse attention à sa ligne ou que l’on soit vegan…mais là aussi 13€ pour un bol de pâtes ?? Franchement ??? Bilan positif pour les attractions et l’ambiance, bémol pour les coins repos, l’ombre et les points eau insuffisants…",12 contributions,fr,Écrit le 12 août 2022,"3,0 sur 5 bulles",yes
août 2022 , En famille,Qualité/ prix mediocre,"Cher, très cher ! Nous avions pris un jour un parc soit plus de 80€ par personne. A ce prix là vous avez le droit à des manèges en panne pendant plus de 5h, moyenne d'attente des manèges 90 minutes...un sous nombre des personnes dans les attractions, et des spectacles qui se termine à 16h ! A la mise en concurrence entre les personnes avec des options payantes la aussi très cher pour couper la file... Tout est hors de prix, le parc est sur remplis, même prix que le parc principale pour 2 fois moins d'attraction et le peu qui sont présentés fermé trop tôt, stich live fermé a 16h, et la rencontre avec les Avengers pleine depuis le matin !!! Inadmissible habitué du parc je n'y reviendrais plus","Thoiry, France",fr,Écrit le 12 août 2022,"1,0 sur 5 bulles",no
août 2022 , En famille,"Bien , mais....",Sejour 2 jours 1 nuit  aout 2022Campus avenger  : on y retrouve quelques vaisseaux  de l'univers marvel dans un décors  de ville industrielle style New york.Tres forte affluence  en ces 2 jours passé  dans le parc.. 1er jour 320 minutes d'attente pour speaderman et fight force qui tombe en panne juste devant nous apres 40 min d'attente.On est revenu le 2eme jour a l'ouverture 40 min pour speaderman  attraction bien faite et 50 min pour fight force avec probleme technique  pas de son . On a pas retenté  une 3eme fois. Le manege etant resté  le meme. Le parcours est identique juste les deccors changent. On peut rencontrer quelques  personnages pour notre part nous n'en avons croisé  qu'un seul .Le reste du parc reste toujours aussi agreable  à  visiter le quartier Paris  avec  sa fontaine et  ses details  est toujours aussi beau et l'attraction Ratatouille toujours plaisante.Domage que les fastpass n'existent plus cela facilitait nettement l'acces a certaines attractions avec des journées  a tres fortes frequentations comme celles ci. Nous n'avons pas a nous plaindre nous avons deja pu en faire quelques unes mais bon le rapport qualité  prix n'y est pas. Effectivement les prix sont à  la hausse et les prestations a la baisse.Déçue  que le charm pandora  des 30 ans soit en rupture de stock .Pour ce qui est restauration nous sommes allés prendre notre repas au restaurant en coulisses les burgers etaient corrects le gateau des 30 ans aussi.Sinon  il y a le buffet Pym kitchen et  le  Bistrot chez Remi plus  gastrinomique  (tres bon) mais il faut réserver  2 mois a l'avance.Nous avons passé  plus de temps dans l'autre parc étant  donné  le temps d'attente dans celui ci. Habitués  de Disneyland  nous avons tout de même essayé   de profiter au mieux de notre sejour.,361 contributions,fr,Écrit le 12 août 2022,"4,0 sur 5 bulles",yes
août 2022 , En couple,Expérience de rêve !,"Je suis retourné à Disneyland après tant d'années et je dois dire que la magie et les sensations que l'on ressent n'ont pas changé, on a l'impression d'être dans un autre monde. Tout est excellent, des manèges aux services. Les boutiques et restaurants, tous à thème et soigné dans les moindres détails. Ce fut une expérience unique, j'y retournerais immédiatement 🥰","Ercolano, Italie",it,None,"5,0 sur 5 bulles",yes
août 2022 , En famille,Une bonne journée,"Ce parc est beaucoup plus petit que le parc principal, mais il reste encore beaucoup à faire. Heureusement, l'application aide à la planification, il est donc facile d'éviter les files d'attente majeures. Bien que nous soyons allés 2 semaines après l'ouverture du campus Avengers et que la foule des vacances d'été en Europe était gérable et nous nous sommes bien amusés. Nous avons été très impressionnés par le nouveau campus Avengers et avons adoré les deux nouveaux manèges, en particulier Spider-Man! Quelle technologie intelligente ! Les rencontres et les divertissements supplémentaires étaient également excellents - affichage Wakanda, Spider-Man sur le toit, etc. J'ai hâte d'être de retour bientôt !","Ashford, UK",en,None,"5,0 sur 5 bulles",no
août 2022 , En famille,Fantastique !!,"Beau parc, nombreuses attractions, personnel aimable et professionnel, prix du restaurant pas à la hauteur de la qualité. Super campus Marvel Avengers !!","Carpi, Italie",it,None,"5,0 sur 5 bulles",no
juil. 2022 , En famille,On adore!,"Superbe expérience. Dommage que nous soyons venus quelques jours avant l’ouverture du parc marvel, car cette partie a manqué pour la visite. Nous avons hâte de la reine des neiges et Star Wars soient construits pour revenir et tout faire dans quelques années. Disney sait préserver sa magie. Dommage par contre que l’on mange très mal et que les boissons et repas soient aussi chers. Prévoyez vos sandwichs et vos bouteilles.","Lyon, France",fr,None,"5,0 sur 5 bulles",no
août 2022 , En famille,Walt Disney Studios,"Procédures d'entrée terribles dans le parc. Attendu à partir de 9h00 pour une ouverture à 9h30. De nombreuses personnes, y compris des excursions d'une journée, se sont présentées à 9h20 et ont été conduites devant la zone d'attente et sont entrées en premier, bien qu'il y ait eu 4 lignes distinctes. Le campus des Avengers était décevant. Seulement deux manèges là-dedans, dont l'un était inférieur à la normale par rapport aux parcs d'attractions «sérieux». Une apparence de personnage terne de Thor et une apparence étrange de Wakanda. Le restaurant Pym Kitchens était un Macdonalds chic avec un buffet clairsemé et pratiquement aucune option végétarienne. J'ai fini par obtenir un remboursement à cause de la mauvaise nourriture.",3 contributions,en,None,"2,0 sur 5 bulles",no
juil. 2022, En famille,Expérience décevante et moyenne,"Certains manèges étaient fermés et parmi ceux qui étaient ouverts, seuls quelques-uns étaient intéressants mais ils avaient des files d'attente de 90 à 120 minutes. De plus, ajouter des files d'attente pour entrer dans certaines zones du parc, c'est-à-dire. le campus Avengers - semblait inutile et a aggravé l'expérience. La nourriture était correcte et le personnel était sympathique. Expérience globale et moyenne.","Greater London, UK",en,None,"3,0 sur 5 bulles",no
juil. 2022 , En famille,Ajout inutile de files d'attente,"Disney a réussi à rendre un parc pas si bon encore pire. Ce n'était pas un grand parc pour commencer, mais séparer le parc et vous faire faire la queue juste pour visiter une autre section du parc est ridicule. Nous voulions faire le tour de Spider-Man mais pour ce faire, vous devez maintenant faire la queue dans une file d'attente pour entrer dans la zone ""Avengers"". Lorsque vous entrez dans cette zone, vous devez maintenant refaire la queue pour chaque attraction !",2 contributions,en,None,"1,0 sur 5 bulles",no
juil. 2022 , En famille,Plus jamais,"Impossible. Vous faites la queue pendant un long moment à un spectacle, puis vous l'annulez. Cela nous est arrivé à la fois au salon de la souris et lors de deux manèges en montagnes russes. 2,5 heures perdues. Ce n'est pas amusant. Plus jamais Studio et Disneyland. Chaque parc d'attractions est meilleur",2 contributions,de,None,"1,0 sur 5 bulles",no
juil. 2022 , En famille,amusement fatigant et modéré,"cela pourrait être beaucoup, beaucoup plus amusant et excitant s'il n'y avait pas autant de files d'attente (d'heures pour chaque attraction), et s'il n'y avait pas autant d'interruptions dues à des pannes, nous faisions la queue pendant 1h30 minutes, quand nous étions sur le point d'entrer, il nous a bloqués et nous a quittés. l'attente d'une panne de 30 minutes après laquelle nous avons été renvoyés pour rouvrir 2 heures plus tard... avec une nouvelle attente de 120 minutes","Braganca, Portugal",en,None,"3,0 sur 5 bulles",no
juil. 2022, En famille,Pas grand chose pour les jeunes enfants,"Nous avons visité 2 jours de suite avec notre petit-fils de 5 ans et il a apprécié Crusher et Toy Story et en général, il a adoré. La nouvelle zone Avengers a été ouverte 2 jours avant notre visite et pour être honnête, à moins que vous ne soyez un adolescent, ce n'est pas pour vous. Nous pouvons voir à l'avenir qu'ils ajoutent des choses, mais pour les petits enfants, il n'y a pas grand-chose à faire à part le caractère étrange. L'une des bonnes choses était qu'il y avait beaucoup de chariots de nourriture vendant de la nourriture à des prix raisonnables contrairement au parc principal qui semblait rempli de stands de glaces et pas grand-chose d'autre. Cela vaut toujours la peine d'être visité, mais nous avons raté le spectacle de cascades et certaines des zones les plus traditionnelles qu'ils ont retirées.","Sutton-on-Sea, UK",en,None,"3,0 sur 5 bulles",yes
juil. 2022 , En famille,Notre visite dans les deux parcs,"Nous avons visité les deux parcs en été. Comme c'était assez complet partout, une visite au parc principal ""Disney Land"" aurait été plus que suffisante.","Bonn, Allemagne",de,None,"3,0 sur 5 bulles",no
juil. 2022 , En famille,Disney oui !!! mais demander à Picsou de baisser les prix...,"Comme précédemment nous avons apprécié les attractions. Le personnel est agréable même avec ces fortes températures. Un gros bémol toutefois, le manque de banc, d'ombre, et surtout la galère pour ce nourrir ou se rafraichir, même en voulant prendre le repas de 12h à 15h !! Plus de sandwich ou trop d'attente. Et vos tarifs ! beaucoup trop élevés. Pensez que si nous ne mettions pas notre argent dans un sandwich et une boisson à 12 euros !! nous le mettrions dans des souvenirs. A méditer...",2 contributions,fr,None,"4,0 sur 5 bulles",no
juil. 2022 , En famille,plus d'attractions,C'est un parc très cool mais à mon avis il manque d'attractions puisqu'il y en a très peu mais à part ce manque d'attractions je suis très satisfait.,1 contribution,es,None,"4,0 sur 5 bulles",no
juil. 2022 , Entre amis,4/5 pas beaucoup à faire,J'ai visité ce parc lors de ma visite à Disneyland. La moitié du parc est restée fermée pour rénovation à l'heure actuelle. Un seul gros manège vraiment à faire dans ce parc. Quelques petites balades aussi. Bonnes zones ombragées. Bonne option de restaurants.,"Glasgow, UK",en,None,"4,0 sur 5 bulles",no
juil. 2022 , En famille,Peu pour l'argent,"Acheté un billet combiné Disneyland et Disney Studio. Nous sommes donc arrivés à Disneystudio après 16h. À ce moment-là, presque tout le plaisir était terminé. De plus, plusieurs autres attractions ont été fermées. On pense que nous devrions d'abord être incités à payer pour des expériences qui ne sont pas accessibles, puis être attirés dans des magasins proposant des articles Disney hors de prix.","Oslo, Norvège",en,None,"1,0 sur 5 bulles",no
juil. 2022 , En famille,Oui MAIS!,"Les attractions sont de qualité, MAIS, il y a un gros mais : des attractions avec des queues d’attente interminables!! 2 h pour faire l’attraction de Nemo, 1h10 pour Ratatouille, 50 minutes pour l’ascenseur de l’horreur… donc arrives à 10h, partis à 17h en ayant fait 3 attractions! Je ne suis pas certain que l’ouverture des attractions Marvel arrange la situation. Si vous aimez prendre le soleil et être entouré de personne sans masque dans les files, pour 2 minutes d’attraction, vous êtes au bon endroit! Franchement, je pense que Disney devrait revoir sa politique en matière de nombre d’entrée car ils ont les yeux (ou les poches) plus gros que le ventre (leur capacité à recevoir dans de bonnes conditions)",France,fr,None,"3,0 sur 5 bulles",no
juil. 2022 , En famille,Avec tant de files d'attente....,"Un cauchemar de 90 minutes pour les montagnes russes. Les minutes de Hollywood Tower et de ratatoulle sont mal calculées, 40 minutes... et nous étions 60 !!! mais c'est que tout était pareil, il cochait ce qu'il voulait, il n'avait qu'à tout remplir, non ? Horrible avec de jeunes enfants","Madrid, Espagne",es,None,"3,0 sur 5 bulles",no
juil. 2022 , En famille,Juste un passage rapide,"Evidemment privilégiez Disneyland car les studios sont petits et il y a peu de manèges.Un conseil allez-y dès l'ouverture, sautez dans le manège ratatouille qui vaut le coup et si vous êtes courageux la tour, après quoi vous pourrez vous rendre au autre côté qui mérite plus il y a tant à faire et à voir","Naples, Italie",it,None,"3,0 sur 5 bulles",yes
avr. 2022 , En famille,Excellent!,"Ce parc est le plus petit des deux mais possède les plus grands manèges. Ils tracent naturellement une ligne plus longue mais l'attente en vaut vraiment la peine à chaque fois. La Tour de la Terreur est sans aucun doute ma préférée, et vous donne une énorme poussée d'adrénaline qui vous fait pomper pour le reste de la journée. Crush's Coaster était tellement amusant, et le manège sur le thème de Ratatouille est vraiment intelligent. Si vous avez un billet Park Hopper, je vous recommande de commencer ici car les lignes sont plus longues et il y a moins de trajets.","Sydney, Australie",en,None,"5,0 sur 5 bulles",no
juil. 2022 , En famille,Vraiment cool!,"Nous sommes toujours ravis ! Une expérience formidable. Bien sûr, vous devez être prêt pour les temps d'attente à certaines attractions. Nous avions un ticket de plusieurs jours pour trois jours et avions donc suffisamment de temps. Les délais d'attente ne nous ont pas dérangés.","Soest, Allemagne",de,None,"4,0 sur 5 bulles",no
juil. 2022 , En solo,Amusant,"De temps en temps j'y retourne pour voir les nouveautés de ce parc plus petit que Disneyland Paris... mais il y a des attractions passionnantes dont je ne peux pas me passer : Ratatouille et le Hollywood Tower Hotel Un nouvel espace dédié va ouvrir fin juillet aux Avengers, une bonne raison pour une autre visite !","Rome, Italie",it,None,"5,0 sur 5 bulles",yes
juin 2022 , En famille,"Petit parc, attractions faibles et la plupart d'entre elles étaient fermées","Ce parc a beaucoup à se développer... c'est un petit parc, avec de faibles attractions et la plupart d'entre elles étaient fermées... vous payez le même prix que Disneyland et obtenez BEAUCOUP moins... Le parc se ferme tôt et vous ne Je n'ai même pas droit à un défilé ou à un spectacle nocturne à la fin...","Ponta Delgada, Portugal",en,Écrit le 8 juillet 2022,"2,0 sur 5 bulles",no
juil. 2022, En famille,"Beau parc, mais longues files d'attente","Il y a de longues files d'attente dans la plupart des attractions. Cela est dû en partie aux personnes qui achètent un accès privilégié et participent à la capacité des attractions. C'est presque comme s'ils allongeaient les files d'attente pour encourager les gens à acheter un pass d'accès de premier ordre, alors que les prix des billets sont déjà assez chers. C'est une expérience différente pour les personnes qui achètent un accès premium par rapport à celles qui ne le font pas. Vous avez le sentiment après 2 jours dans les deux parcs, il s'agit de gagner le plus d'argent possible. A côté de ça, tout est parfaitement agencé et organisé et les spectacles sont vraiment fantastiques !! Donc c'est quand même une belle expérience au final !!","Linkhout, Belgique",en,None,"3,0 sur 5 bulles",no
juil. 2022, En famille,Bel endroit cher,"Bel endroit à visiter, surtout pour les enfants, vous vous amuserez et profiterez de votre temps. Le spectacle de feux d'artifice est incroyable. Mais trop de monde, vous ne bénéficierez pas de la valeur du billet que vous paierez et si vous souhaitez surmonter les très longues files d'attente pour jouer à des jeux, vous devez payer plus à chaque entrée de jeu (je pense qu'ils ont soif d'argent ). Très cher!!!.","Alexandrie, Égypte",en,Écrit le 6 juillet 2022,"3,0 sur 5 bulles",no
juil. 2022 , En couple,Excellent séjour au séquoia lodge à Eurodisney               Tout était parfait notre visite dans les deux Parks 👍,"Excellent séjour au Séquoia Lodge à EurodisneyTout était parfait car nous avons été surclassé La chambre superbe avec balcon, petit déjeuner,goûter un vrai moment de détente",1 contribution,fr,Écrit le 5 juillet 2022,"5,0 sur 5 bulles",yes
juil. 2022 , En famille,Pas à la hauteur,Beaucoup de zones en travaux... beaucoup d'attractions fermées notamment pour les adolescents...A la vue du prix des billets.... On peut s'attendre à mieux....Du coups des queues très longues sur les attarctions opérationnelles,1 contribution,fr,Écrit le 4 juillet 2022,"3,0 sur 5 bulles",no
juin 2022 , En couple,La nourriture est horrible !!!!,"J'étais allé à Disneyland en Californie il y a environ 10 ans, j'étais donc ravi d'emmener ma fille visiter Disneyland Paris. J'ai été déçu de constater que les manèges du parc sont si démodés, de plus, la norme n'est tout simplement pas la même qu'aux États-Unis. Mais bon de voir A Small World en cours de rénovation. L'hôtel principal est également rénové. Ce qui signifie que notre expérience globale était moyenne. Et s'il vous plaît, faites quelque chose pour la nourriture car c'était plus que terrible! J'aimerais qu'il y ait des options alimentaires saines.",1 contribution,en,Écrit le 4 juillet 2022,"3,0 sur 5 bulles",no
juin 2022 , En famille,Spectaculaire,"Les gars, vous ne pouvez pas commenter la magie de cet endroit... vous n'avez qu'à le vivre ! Unique et merveilleux pour tous les âges... Mais je dois faire un commentaire négatif qui va au-delà de la beauté des lieux... attention aux prix.... Je pense que payer 3,80 € pour une bouteille d'eau classique est un vol auquel le gouvernement français devrait remédier","Milan, Italie",it,None,"5,0 sur 5 bulles",no
juin 2022 , En famille,Détérioré,"TA Disney Comme pour Disneyland, le parc s'est définitivement détérioré depuis notre dernière visite. Le profit semble avoir pris le pas sur le plaisir des gens. Le contraire des objectifs originaux de Disney. De nombreuses attractions étaient fermées, environ 70% des distributeurs de désinfectant étaient vides, les files d'attente pour certains manèges étaient bloquées en raison de problèmes de conduite, les toilettes étaient mal entretenues en raison du manque de savon, de papier toilette, etc. Certains restaurants étaient impossibles à réserver sur le Disney application ou en personne. Solidement réservé même deux mois à l'avance. Globalement insatisfait, je pense que la nourriture réelle était généralement savoureuse et que les attractions sont bonnes, il faut donc revenir aux valeurs originales de Disney.","Gillingham, UK",en,None,"3,0 sur 5 bulles",no
juin 2022 , En famille,Fantastique,en fait pas de mots pour ça de a à z merveilleusement beau vraiment apprécié avec ma famille et ma petite-fille qui était avec moi pour son 5e anniversaire et son fils handicapé qui a aussi vraiment apprécié tout et quelque chose et le grand-père et la grand-mère qui se sentaient aussi comme un enfant à nouveau vraiment fantastique,"Bredene, Belgique",nl,None,"5,0 sur 5 bulles",no
juin 2022 , En couple,Une fois dans une vie suffit.,"Manger à Disneyland coûte très cher. De longs temps d'attente dans les différentes gares De nombreux stands de restauration sont fermés. En conséquence, de longs délais d'attente ici aussi.","Nackenheim, Allemagne",de,None,"3,0 sur 5 bulles",yes
avr. 2022 , En famille,Deuxième parc à visiter si vous allez à Disneyland Paris.,"Nous n'avons pas eu de chance que la zone Avengers n'ait pas encore ouvert, nous avons donc senti qu'il nous manquait quelque chose à voir. Il se déroule dans des domaines thématiques des dessins animés Disney qui sont un peu plus modernes. Tout et étant très bon, j'ai beaucoup plus aimé l'autre partie du parc.","Sant Climent de Llobregat, Espagne",es,None,"4,0 sur 5 bulles",yes
mai 2022 , En famille,De nombreuses attractions fermées,"Lors de notre visite au parc en mai, de nombreuses attractions étaient fermées, ce qui ne valait pas le prix d'entrée.",1 contribution,nl,None,"1,0 sur 5 bulles",no
juin 2022 , En famille,Top,Super les spectacles et attractions sont de qualité il serait vraiment bien de trouver des idées pour occuper petits et grands durant les longues attentes ✨,2 contributions,fr,Écrit le 24 juin 2022,"5,0 sur 5 bulles",no
juin 2022 , En couple,Chaque souci du détail : c'est magique,"S'il n'y avait pas le nombre de personnes là-bas, ce serait parfait, mais juin est le mois le plus chargé de l'année à Disney et vous devez l'assumer","Madrid, Espagne",es,None,"4,0 sur 5 bulles",no
juin 2022 , En famille,"Excellent paysage, tout le parc est très bien entretenu",Vraiment soigné jusque dans les moindres détails. De belles attractions et de nombreux services. Peut-être que du personnel serait nécessaire pour donner plus d'informations,"Casinalbo, Italie",it,None,"4,0 sur 5 bulles",no
juin 2022, En famille,Étonnante!!! En répétition.,"Une autre expérience avec le sceau Disney à son meilleur. Certaines expériences sont à couper le souffle (Ratatui, Big Thunder Mountain). Toujours propre, bien organisé et beaucoup de nourriture proposée.","Olhao, Portugal",pt,None,"5,0 sur 5 bulles",no
juin 2022 , En famille,Parfait !,"Séjour de deux jours très bien ! Les parades et les illuminations sont magnifiques, et les attractions sont toutes très bien, même si certaines tombent souvent en panne. Seul regret pour le spectacle du Roi Lion que je n'ai pas pu voir car les ouvreuses ont choisi d'arrêter de faire entrer les gens juste au moment où je devais rentrer, alors qu'il n'était pas encore l'heure du spectacle, et qu'il restait selon elles encore des places mais qu'il fallait qu'elles ""ferment les portes""... Une meilleure organisation pour remplir la salle de spectacle entièrement ou pour signaler aux gens qu'ils attendent pendant une demi heure pour rien serait à prévoir. ","Paris, France",fr,None,"5,0 sur 5 bulles",no
juin 2022, En couple,Le pire parc à thème de Disney au monde,"Pas l'un des pires parcs à thème Disney au monde - c'est le PIRE PARC À THÈME DISNEY au monde. Ce parc mal conçu et mal exécuté est sans histoire claire, plan directeur ou ligne d'attractions qui constitue un véritable thème parc - sans parler d'un parc à thème Disney. Nous savons que Disney travaille dur pour remédier à ce problème à long terme - mais cela ne peut pas arriver assez tôt. Sur une note d'angle, le Café Chez Remy est un délice et à ne pas manquer !","Los Angeles, Californie",en,Écrit le 20 juin 2022,"1,0 sur 5 bulles",no
juin 2022, En famille,La souris à gros sous,"Ma petite amie et moi sommes des visiteurs réguliers de Disneyland. Nous attendons toujours avec impatience un voyage magique pour lequel nous sommes heureux de prendre beaucoup de temps et de partir. Nous choisissons donc soigneusement notre visite afin qu'elle ne soit pas en période d'affluence ou de vacances, mais nous n'avons jamais eu une aussi mauvaise expérience que maintenant. Un tiers des studios et une grande partie du parc principal ont été fermés pour rénovation, laissant très peu à faire. Les attractions qui sont constamment fermées en raison d'un trop grand nombre de personnes ou de maintenance entraînent un temps d'attente moyen de 120 minutes pour les autres attractions. Ceux qui veulent/peuvent postuler beaucoup peuvent bien sûr accéder rapidement à tout. Mais l'ère des passes rapides sans tracas est révolue.Beaucoup de ces choses perforent la bulle magique de l'atmosphère qui rend Disney unique. C'est pourquoi la mauvaise visite à Disney n'est pas seulement dommage et frustrante, mais ça fait vraiment mal de ne plus jamais vivre la magie telle qu'elle était autrefois.C'est avec une grande tristesse que nous avons terminé notre 2ème journée tôt à 14h.",1 contribution,nl,None,"1,0 sur 5 bulles",no
juin 2022 , En famille,Un parc plus petit mais bien pensé,"Studios est plus petit que l'autre parc, donc une journée est probablement plus que suffisante pour tout voir. Les manèges sont très amusants et agréables. Il y a moins de manèges pour les petits enfants. Le pire, ce sont les files d'attente, mais cela dépend de divers facteurs.","Porto, Portugal",en,None,"5,0 sur 5 bulles",no
juin 2022 , En famille,je n'y retournerais pas.,"Je suis désolé, mais ce parc ne peut pas être au même prix que Disneyland, plein d'attractions et de choses à faire pour tous les âges. Classement 5* pour : montage, décors, food corners, le quartier de la Ratatouille est très beau avec les spécialités de différents pays européens en version street food.Classement 5* AVEC TEMPS FORTS pour le spectacle MICKEY MOUSE ET LE MAGICIEN : EXCELLENT ! Une scénographie magnifique, des reprises techniques proches de la perfection, de bons danseurs et chanteurs, le rôle du Roi Lion est vraiment magique et spécial avec un chanteur à la voix incroyable. Heureusement qu'il y avait ce spectacle. Ratatouille 5* Ratatouille : très mignon, bien fait et vraiment agréable. Note Nemo's Coaster Crush 2* : je ne le referais plus, une sorte de montagnes russes tournant dans le noir, je n'ai pas aimé ça, compte tenu de l'incroyable publicité que tout le monde lui fait, ça ne vaut pas les attentes. Frose était sur le point de gagner une part du marché des 16/26 ans. 2h de file d'attente le matin, puis attraction fermée jusqu'à on ne sait quand, puis réouverture d'un coup et il y avait déjà 1h30 de file d'attente de personnes qui se sont précipitées par-dessus les cordes pour se fourrer dans le chemin de l'entrée. Je n'ai fait la queue que parce que ma fille en voulait tellement.Classé 4 * Train Cars.Je ne note pas toutes les attractions du parc d'attractions car, au-delà de l'esthétique, elles sont à la hauteur de n'importe quel parc d'attractions: je vais à Disneyland pour le Disneyland magique , pas pour aller dans un parc d'attractions. Les files d'attente sont deux fois plus longues qu'au parc Disneyland car il y a moins d'attractions, donc les gens se pressent devant les entrées avec beaucoup de patience, puis déambulent dans le parc et à la fin celui qui a un billet pour deux parcs va à Disneyland à côté. Je ne peux pas évaluer la tour de la terreur car il y avait une file d'attente et nous devions aller à l'aéroport. Si le prix était proportionnel 40-45eur Disneyland studios et 62eur (ceux effectivement payés pendant la semaine de juin, puis ça augmente ) alors ça aurait du sens. La partie Avengers ouvrira en juillet, pour l'instant beaucoup de décors et pas d'animation.",Italie,it,None,"3,0 sur 5 bulles",no
avr. 2022, En famille,Trop de monde,"Nous y sommes allés pendant les vacances de Pâques et c'est leur 30e anniversaire. Il y avait beaucoup de monde et la plupart des manèges avaient un temps d'attente de plus de 2 heures. Et même certains manèges simples ont un temps d'attente d'au moins 45 minutes. ALORS, N'Y ALLEZ PAS PENDANT LA SAISON DES VACANCES. Le trajet en voiture était génial, alors ne le manquez pas, 5D (peut-être 4D) était génial et les enfants les ont adorés.","Soenderborg, Danemark",en,Écrit le 17 juin 2022,"3,0 sur 5 bulles",no
juin 2022 , En famille,la qualité a chuté,"Les jouets étaient en temps accéléré. Les enfants se sont retrouvés avec le sentiment de ""est-ce fini?"". Terrible expérience, à la fois pour nos enfants qui étaient la première fois, et pour nous adultes, qui étions déjà allés d'autres fois, et clairement quelque chose a changé. Je ne sais pas ce qui aurait pu arriver, mais cette magie a été perdue. Nous n'avons pas vu les personnages se promener dans les parcs, seulement à certains endroits pour prendre des photos, c'est-à-dire quelque chose de statique avec de longues files d'attente. La puissance interne est terrible, avec une valeur pratiquée absurde et un produit de faible qualité. Quoi qu'il en soit, c'était certainement une expérience que nous n'irons plus jamais à Disney Paris.",2 contributions,pt,None,"2,0 sur 5 bulles",no
juin 2022 , Entre amis,Engageant!!,"Parc magique avec une belle marge de progression.. Des attractions nouvelles et bien structurées, des spectacles bien faits et engageants.. Petit frère de l'autre Parc Disney mais avec un excellent potentiel !","Pianezze, Italie",it,None,"5,0 sur 5 bulles",yes
juin 2022 , Entre amis,Terrible. Insuffisant pour les enfants. Trop de monde. Mauvaises vibrations. A ne pas répéter.,"Ce n'est pas un endroit où aller, surtout si vous y allez avec vos enfants. Faire la queue plus de 2 heures pour 1 minute de plaisir modéré est-il raisonnable ? Pas de salle de bain dans la file d'attente. Si vous en avez besoin, vous devez recommencer. Plus de deux heures... Ils permettent à tellement de monde d'entrer qu'on ne peut pas se déplacer à l'intérieur du parc. Expérience horrible. A ne pas répéter.","Lisbonne, Portugal",en,Écrit le 13 juin 2022,"1,0 sur 5 bulles",yes
juin 2022 , En famille,Super journée,"Grand parc avec de grands spectacles. Ce n'est pas aussi grand que le parc principal, mais il y a beaucoup de rénovations en cours et de nouveaux terrains en cours de construction qui semblent être incroyables. En attendant encore beaucoup à voir ici. L'usine à rêves et Mickey et le magicien sont deux grands spectacles. Stitch live est toujours très drôle. L'académie d'animation est géniale et un grand personnage rencontre Olaf, Jessie et buzz. La seule chose qui manque à ce parc, ce sont les choix de nourriture, car il n'y a vraiment que deux choix Chez Remy, ce qui est génial mais difficile d'obtenir une réservation pour ou le restaurant EnCouilisse, qui propose des repas de base et des hamburgers. Sinon, super parc et agréable d'avoir une nuit tôt car il ferme plus tôt que l'autre parc","Dublin, Irlande",en,Écrit le 14 juin 2022,"4,0 sur 5 bulles",no
juin 2022 , En couple,insolence et escroquerie,"L'emplacement est très agréable, mais une arnaque pour le prix d'entrée. Il fallait attendre 1 à 2 heures, parfois sous la pluie, pour 1 à 2 minutes de ""fun"". Nous avons d'abord acheté des livres de signatures pour les enfants. Nous aurions pu nous sauver. Les personnages ne sont là que pendant environ 4 heures, car il faut faire une pause au bout de 30 minutes, ou comme Olaf, 2 heures. Après la pause, vous pouvez attendre plus d'une heure. Vous avez besoin d'une journée rien que pour ça. Un autre problème est que les personnages commencent et finissent en même temps. C'est juste du stress. Une ruée et un chaos. L'application est aussi pour la poubelle. Les horaires ne correspondent pas du tout. Mais après 30 minutes d'attente, vous songez à repartir.",2 contributions,de,None,"1,0 sur 5 bulles",no
mai 2022, En famille,Pas mal,trop de monde !!! le temps au attraction est beaucoup trop long !!! cependant les attractions sont vraiment sympa. Il y a aussi des spectacles qui sont super. Attention il faut faire la queue assez tot...Ratatouille au top !!l'ambiance est sympa. Beaucoup de boutique.,"Toulouse, France",fr,Écrit le 14 juin 2022,"3,0 sur 5 bulles",no
